carton|program|version_pk|plan|tag|mapper_pk|mapper_label|category_pk|category_label|value|value_min|value_max|priority_min|priority_max|cadence_pk|cadence_label|lambda_eff|instrument_pk|instrument_label|magnitude_placeholder
bhm_aqmes_bonus_bright|bhm_filler|96|0.5.4|0.3.5|1|BHM|0|science|{0.1}|0.1|0.1|4040|4041|{10}|{'bright_3x1'}|{5400.0}|{0}|{'BOSS'}|{'TMASS_Invalid', 'GAIA_Invalid'}
bhm_aqmes_bonus_core|bhm_filler|96|0.5.4|0.3.5|1|BHM|0|science|{0.2}|0.2|0.2|3300|3301|{33}|{'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_aqmes_bonus_faint|bhm_filler|96|0.5.4|0.3.5|1|BHM|0|science|{0.1}|0.1|0.1|3302|3303|{33}|{'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_aqmes_med|bhm_aqmes|83|0.5.0|0.3.0|1|BHM|0|science|{100.0}|100.0|100.0|1100|1101|{42}|{'dark_10x4_4yr'}|{5400.0}|{0}|{'BOSS'}|{'TMASS_Invalid', 'GAIA_Invalid'}
bhm_aqmes_med_faint|bhm_filler|83|0.5.0|0.3.0|1|BHM|0|science|{1.0}|1.0|1.0|3100|3101|{42}|{'dark_10x4_4yr'}|{5400.0}|{0}|{'BOSS'}|{'TMASS_Invalid', 'GAIA_Invalid'}
bhm_aqmes_wide2|bhm_aqmes|96|0.5.4|0.3.5|1|BHM|0|science|{100.0}|100.0|100.0|1210|1211|{36}|{'dark_2x4'}|{5400.0}|{0}|{'BOSS'}|{'TMASS_Invalid', 'GAIA_Invalid'}
bhm_aqmes_wide2_faint|bhm_filler|96|0.5.4|0.3.5|1|BHM|0|science|{1.0}|1.0|1.0|3210|3211|{36}|{'dark_2x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_colr_galaxies_lsdr8|bhm_filler|114|0.5.16|0.3.15|1|BHM|0|science|{0.0}|0.0|0.0|7100|7100|{1, 30, 33}|{'dark_1x1', 'bright_1x1', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_csc_apogee|bhm_csc|112|0.5.14|0.3.13|1|BHM|0|science|{1.0}|1.0|1.0|2930|2939|{1, 10}|{'bright_1x1', 'bright_3x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
bhm_csc_boss|bhm_csc|112|0.5.14|0.3.13|1|BHM|0|science|{1.0}|1.0|1.0|1920|2939|{33, 1, 31}|{'dark_1x2', 'bright_1x1', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
bhm_gua_bright|bhm_filler|83|0.5.0|0.3.0|1|BHM|0|science|{0.5}|0.5|0.5|4040|4040|{9}|{'bright_2x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'GAIA_999.0', 'TMASS_Invalid'}
bhm_gua_dark|bhm_filler|83|0.5.0|0.3.0|1|BHM|0|science|{0.5}|0.5|0.5|3400|3400|{33}|{'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'GAIA_999.0', 'TMASS_Invalid'}
bhm_rm_ancillary|bhm_rm|83|0.5.0|0.3.0|1|BHM|0|science|{1000.0}|1000.0|1000.0|904|1049|{40}|{'dark_174x8'}|{5400.0}|{0}|{'BOSS'}|{'TMASS_Invalid', 'GAIA_Invalid'}
bhm_rm_core|bhm_rm|83|0.5.0|0.3.0|1|BHM|0|science|{1000.0}|1000.0|1000.0|907|1047|{40, 41}|{'dark_174x8', 'dark_100x8'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_99.9', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_rm_known_spec|bhm_rm|83|0.5.0|0.3.0|1|BHM|0|science|{1000.0}|1000.0|1000.0|901|1051|{40, 41}|{'dark_174x8', 'dark_100x8'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_99.9', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_rm_var|bhm_rm|83|0.5.0|0.3.0|1|BHM|0|science|{1000.0}|1000.0|1000.0|908|1038|{40}|{'dark_174x8'}|{5400.0}|{0}|{'BOSS'}|{'TMASS_Invalid', 'GAIA_Invalid'}
bhm_spiders_agn_efeds_stragglers|bhm_spiders|83|0.5.0|0.3.0|1|BHM|0|science|{1.0}|1.0|1.0|1510|1714|{33, 9, 31}|{'bright_2x1', 'dark_1x2', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'GAIA_0.0', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_spiders_agn_gaiadr2|bhm_spiders|83|0.5.0|0.3.0|1|BHM|0|science|{0.0, 1.0}|0.0|1.0|1540|3742|{33, 9, 31}|{'bright_2x1', 'dark_1x2', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_spiders_agn_lsdr8|bhm_spiders|83|0.5.0|0.3.0|1|BHM|0|science|{1.0}|1.0|1.0|1520|1723|{33, 9, 31}|{'bright_2x1', 'dark_1x2', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'GAIA_0.0', 'TMASS_Invalid', 'GAIA_Invalid'}
bhm_spiders_agn_ps1dr2|bhm_spiders|83|0.5.0|0.3.0|1|BHM|0|science|{0.0, 1.0}|0.0|1.0|1530|3732|{33, 9, 31}|{'bright_2x1', 'dark_1x2', 'dark_1x4'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid'}
