                  carton                  | target_selection_plan | code_tag 
------------------------------------------+-----------------------+----------
 bhm_aqmes_bonus_bright                   | 0.5.4                 | 0.3.5
 bhm_aqmes_bonus_core                     | 0.5.4                 | 0.3.5
 bhm_aqmes_bonus_faint                    | 0.5.4                 | 0.3.5
 bhm_aqmes_med                            | 0.5.0                 | 0.3.0
 bhm_aqmes_med_faint                      | 0.5.0                 | 0.3.0
 bhm_aqmes_wide2                          | 0.5.4                 | 0.3.5
 bhm_aqmes_wide2_faint                    | 0.5.4                 | 0.3.5
 bhm_colr_galaxies_lsdr8                  | 0.5.16                | 0.3.15
 bhm_csc_apogee                           | 0.5.14                | 0.3.13
 bhm_csc_boss                             | 0.5.14                | 0.3.13
 bhm_gua_bright                           | 0.5.0                 | 0.3.0
 bhm_gua_dark                             | 0.5.0                 | 0.3.0
 bhm_rm_ancillary                         | 0.5.0                 | 0.3.0
 bhm_rm_core                              | 0.5.0                 | 0.3.0
 bhm_rm_known_spec                        | 0.5.0                 | 0.3.0
 bhm_rm_var                               | 0.5.0                 | 0.3.0
 bhm_spiders_agn_efeds_stragglers         | 0.5.0                 | 0.3.0
 bhm_spiders_agn_gaiadr2                  | 0.5.0                 | 0.3.0
 bhm_spiders_agn_lsdr8                    | 0.5.0                 | 0.3.0
 bhm_spiders_agn_ps1dr2                   | 0.5.0                 | 0.3.0
 bhm_spiders_agn_sep                      | 0.5.0                 | 0.3.0
 bhm_spiders_agn_skymapperdr2             | 0.5.0                 | 0.3.0
 bhm_spiders_agn_supercosmos              | 0.5.0                 | 0.3.0
 bhm_spiders_clusters_efeds_stragglers    | 0.5.0                 | 0.3.0
 bhm_spiders_clusters_lsdr8               | 0.5.0                 | 0.3.0
 bhm_spiders_clusters_ps1dr2              | 0.5.0                 | 0.3.0
 manual_bhm_spiders_comm                  | 0.5.3                 | 0.3.4
 manual_bright_target_offsets_1           | 0.5.3                 | 0.3.4
 manual_bright_target_offsets_1_g13       | 0.5.3                 | 0.3.4
 manual_bright_target_offsets_2           | 0.5.3                 | 0.3.4
 manual_bright_target_offsets_2_g13       | 0.5.3                 | 0.3.4
 manual_bright_targets                    | 0.5.3                 | 0.3.4
 manual_bright_targets_g13                | 0.5.3                 | 0.3.4
 manual_bright_targets_g13_offset_fixed_1 | 0.5.3                 | 0.3.4
 manual_bright_targets_g13_offset_fixed_2 | 0.5.3                 | 0.3.4
 manual_bright_targets_g13_offset_fixed_3 | 0.5.3                 | 0.3.4
 manual_bright_targets_g13_offset_fixed_4 | 0.5.3                 | 0.3.4
 manual_bright_targets_g13_offset_fixed_5 | 0.5.3                 | 0.3.4
