carton|plan|category_label|stage|active|program|version_pk|tag|mapper_pk|mapper_label|category_pk|magnitude_placeholders
bhm_aqmes_bonus_bright|0.5.4|science|srd|y|bhm_filler|96|0.3.5|1|BHM|0|{'GAIA_Invalid', 'TMASS_Invalid'}
bhm_aqmes_bonus_core|0.5.4|science|srd|y|bhm_filler|96|0.3.5|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_aqmes_bonus_faint|0.5.4|science|srd|y|bhm_filler|96|0.3.5|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_aqmes_med|0.5.0|science|srd|y|bhm_aqmes|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'TMASS_Invalid'}
bhm_aqmes_med_faint|0.5.0|science|srd|y|bhm_filler|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'TMASS_Invalid'}
bhm_aqmes_wide2|0.5.4|science|srd|y|bhm_aqmes|96|0.3.5|1|BHM|0|{'GAIA_Invalid', 'TMASS_Invalid'}
bhm_aqmes_wide2_faint|0.5.4|science|srd|y|bhm_filler|96|0.3.5|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_csc_apogee|0.5.15|science|srd|y|bhm_csc|113|0.3.14|1|BHM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid'}
bhm_csc_boss|0.5.15|science|srd|y|bhm_csc|113|0.3.14|1|BHM|0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_csc_boss_bright|0.5.0|science|srd|n|bhm_csc|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_csc_boss_dark|0.5.0|science|srd|n|bhm_csc|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_colr_galaxies_lsdr8|0.5.16|science|filler|y|bhm_filler|114|0.3.15|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_gua_bright|0.5.0|science|srd|y|bhm_filler|83|0.3.0|1|BHM|0|{'GAIA_999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_gua_dark|0.5.0|science|srd|y|bhm_filler|83|0.3.0|1|BHM|0|{'GAIA_999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_rm_ancillary|0.5.0|science|srd|y|bhm_rm|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'TMASS_Invalid'}
bhm_rm_core|0.5.0|science|srd|y|bhm_rm|83|0.3.0|1|BHM|0|{'SDSS_99.9', 'GAIA_Invalid', 'TMASS_Invalid'}
bhm_rm_known_spec|0.5.0|science|srd|y|bhm_rm|83|0.3.0|1|BHM|0|{'SDSS_99.9', 'GAIA_Invalid', 'TMASS_Invalid'}
bhm_rm_var|0.5.0|science|srd|y|bhm_rm|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'TMASS_Invalid'}
bhm_spiders_agn_efeds_stragglers|0.5.0|science|srd|y|bhm_spiders|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'GAIA_0.0', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_spiders_agn_gaiadr2|0.5.0|science|srd|y|bhm_spiders|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_spiders_agn_lsdr8|0.5.0|science|srd|y|bhm_spiders|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'GAIA_0.0', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_spiders_agn_ps1dr2|0.5.0|science|srd|y|bhm_spiders|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_spiders_agn_sep|0.5.0|science|srd|y|bhm_spiders|83|0.3.0|1|BHM|0|{'SDSS_Invalid', 'TMASS_Invalid'}
bhm_spiders_agn_skymapperdr2|0.5.0|science|srd|y|bhm_spiders|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_spiders_agn_supercosmos|0.5.0|science|srd|y|bhm_spiders|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
bhm_spiders_clusters_efeds_stragglers|0.5.0|science|srd|y|bhm_spiders|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'GAIA_0.0', 'TMASS_Invalid'}
bhm_spiders_clusters_lsdr8|0.5.0|science|srd|y|bhm_spiders|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'TMASS_Invalid'}
bhm_spiders_clusters_ps1dr2|0.5.0|science|srd|y|bhm_spiders|83|0.3.0|1|BHM|0|{'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
